,index,PLOTCODE,CX,CY,indexField
0,0,1164,236011,4205274.0,1
1,1,1165,246011,4205274.0,2
2,2,1166,256011,4205274.0,3
3,3,1167,266011,4205274.0,4
4,4,1168,276011,4205274.0,5
5,5,1169,286011,4205274.0,6
6,6,1170,296011,4205274.0,7
7,7,1171,306011,4205274.0,8
8,8,1172,316011,4205274.0,9
9,9,1173,326011,4205274.0,10
10,10,1174,336011,4205274.0,11
11,11,1175,346011,4205274.0,12
12,12,1176,356011,4205274.0,13
13,13,1177,366011,4205274.0,14
14,14,1178,376011,4205274.0,15
15,15,1179,386011,4205274.0,16
16,16,1180,396011,4205274.0,17
17,17,1181,406011,4205274.0,18
18,18,1182,416011,4205274.0,19
19,19,1183,426011,4205274.0,20
20,20,1184,436011,4205274.0,21
21,21,1185,446011,4205274.0,22
22,22,1186,456011,4205274.0,23
23,23,1187,466011,4205274.0,24
24,24,1188,476011,4205274.0,25
25,25,1189,486011,4205274.0,26
26,26,1190,496011,4205274.0,27
27,27,1191,506011,4205274.0,28
28,28,1192,516011,4205274.0,29
29,29,1193,526011,4205274.0,30
30,30,1194,536011,4205274.0,31
31,31,1195,546011,4205274.0,32
32,32,1196,556011,4205274.0,33
33,33,1197,566011,4205274.0,34
34,34,1198,576011,4205274.0,35
35,35,1199,586011,4205274.0,36
36,36,1200,596011,4205274.0,37
37,37,1201,606011,4205274.0,38
38,38,1202,616011,4205274.0,39
39,39,1203,626011,4205274.0,40
40,40,1204,636011,4205274.0,41
41,41,1205,236011,4215274.0,42
42,42,1206,246011,4215274.0,43
43,43,1207,256011,4215274.0,44
44,44,1208,266011,4215274.0,45
45,45,1209,276011,4215274.0,46
46,46,1210,286011,4215274.0,47
47,47,1211,296011,4215274.0,48
48,48,1212,306011,4215274.0,49
49,49,1213,316011,4215274.0,50
50,50,1214,326011,4215274.0,51
51,51,1215,336011,4215274.0,52
52,52,1216,346011,4215274.0,53
53,53,1217,356011,4215274.0,54
54,54,1218,366011,4215274.0,55
55,55,1219,376011,4215274.0,56
56,56,1220,386011,4215274.0,57
57,57,1221,396011,4215274.0,58
58,58,1222,406011,4215274.0,59
59,59,1223,416011,4215274.0,60
60,60,1224,426011,4215274.0,61
61,61,1225,436011,4215274.0,62
62,62,1226,446011,4215274.0,63
63,63,1227,456011,4215274.0,64
64,64,1228,466011,4215274.0,65
65,65,1229,476011,4215274.0,66
66,66,1230,486011,4215274.0,67
67,67,1231,496011,4215274.0,68
68,68,1232,506011,4215274.0,69
69,69,1233,516011,4215274.0,70
70,70,1234,526011,4215274.0,71
71,71,1235,536011,4215274.0,72
72,72,1236,546011,4215274.0,73
73,73,1237,556011,4215274.0,74
74,74,1238,566011,4215274.0,75
75,75,1239,576011,4215274.0,76
76,76,1240,586011,4215274.0,77
77,77,1241,596011,4215274.0,78
78,78,1242,606011,4215274.0,79
79,79,1243,616011,4215274.0,80
80,80,1244,626011,4215274.0,81
81,81,1245,636011,4215274.0,82
82,82,1246,236011,4225274.0,83
83,83,1247,246011,4225274.0,84
84,84,1248,256011,4225274.0,85
85,85,1249,266011,4225274.0,86
86,86,1250,276011,4225274.0,87
87,87,1251,286011,4225274.0,88
88,88,1252,296011,4225274.0,89
89,89,1253,306011,4225274.0,90
90,90,1254,316011,4225274.0,91
91,91,1255,326011,4225274.0,92
92,92,1256,336011,4225274.0,93
93,93,1257,346011,4225274.0,94
94,94,1258,356011,4225274.0,95
95,95,1259,366011,4225274.0,96
96,96,1260,376011,4225274.0,97
97,97,1261,386011,4225274.0,98
98,98,1262,396011,4225274.0,99
99,99,1263,406011,4225274.0,100
100,100,1264,416011,4225274.0,101
101,101,1265,426011,4225274.0,102
102,102,1266,436011,4225274.0,103
103,103,1267,446011,4225274.0,104
104,104,1268,456011,4225274.0,105
105,105,1269,466011,4225274.0,106
106,106,1270,476011,4225274.0,107
107,107,1271,486011,4225274.0,108
108,108,1272,496011,4225274.0,109
109,109,1273,506011,4225274.0,110
110,110,1274,516011,4225274.0,111
111,111,1275,526011,4225274.0,112
112,112,1276,536011,4225274.0,113
113,113,1277,546011,4225274.0,114
114,114,1278,556011,4225274.0,115
115,115,1279,566011,4225274.0,116
116,116,1280,576011,4225274.0,117
117,117,1281,586011,4225274.0,118
118,118,1282,596011,4225274.0,119
119,119,1283,606011,4225274.0,120
120,120,1284,616011,4225274.0,121
121,121,1285,626011,4225274.0,122
122,122,1286,636011,4225274.0,123
123,123,1287,236011,4235274.0,124
124,124,1288,246011,4235274.0,125
125,125,1289,256011,4235274.0,126
126,126,1290,266011,4235274.0,127
127,127,1291,276011,4235274.0,128
128,128,1292,286011,4235274.0,129
129,129,1293,296011,4235274.0,130
130,130,1294,306011,4235274.0,131
131,131,1295,316011,4235274.0,132
132,132,1296,326011,4235274.0,133
133,133,1297,336011,4235274.0,134
134,134,1298,346011,4235274.0,135
135,135,1299,356011,4235274.0,136
